Strongs,Lgg,X,Word,Pos_Long,Pos_Abbv,Transliteration,Meaning
H1,H,1,אָב,noun masc,n-m.,ab (awb),"1. father {in a literal and immediate, or figurative and remote application} [a primitive word. Compare names beginning with ""Abi-""] KJV: chief, (fore-)father(-less), X patrimony, principal."
A2,A,2,אַב,noun masc,n-m.,ab (ab),"1. father [(Aramaic) corresponding to H1] Root(s): H1"""
H3,H,3,אֵב,noun masc,n-m.,'eb (abe),". 1. a green plant [from the same as H24] KJV: greenness, fruit. Root(s): H24"
A4,A,4,אֵב,noun masc,n-m.,eb (abe),"1. fruit [(Aramaic) corresponding to H3] Root(s): H3"""
H5,H,5,אֲבַגתָּא,name,n/p.,Abagtha' (ab-ag-thaw'),"1. Abagtha, a eunuch of Xerxes [of foreign origin] KJV: Abagtha."
H6,H,6,אָבַד,verb,v.,abad (aw-bad'),"1. (properly) to wander away, i.e. lose oneself 2. (by implication) to perish 3. (causative) to destroy [a primitive root] KJV: break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee."
A7,A,7,אֲבַד,verb,v.,abad (ab-ad'),"1. destroy, perish [(Aramaic) corresponding to H6] Root(s): H6"
H8,H,8,אוֹבֵד,noun masc,n-m.,obed (o-bade'),"1. (concretely) wretched 2. (abstractly) destruction [active of participle of H6] KJV: perish. Root(s): H6"""
H9,H,9,אֲבֵדָה,noun fem,n-f.,abedah (ab-ay-daw'),"1. (concretely) something lost 2. (abstractly) destruction, i.e. Hades [from H6] KJV: lost. Root(s): H6 Compare: H10"
H10,H,10,אֲבַדּוֹה,noun fem,n-f.,abaddoh (ab-ad-do'),"1. a perishing [the same as H9, miswritten for H11] KJV: destruction. Root(s): H9, H11"
H11,H,11,אֲבַדּוֹן,name/l.,n/l.,abaddown (ab-ad-done'),"1. (abstractly) a perishing 2. (concretely) Hades [intensive from H6] KJV: destruction. Root(s): H6"""
H12,H,12,אַבדָּן,noun masc,n-m.,abdan (ab-dawn'),"1. a perishing [from H6] KJV: destruction. Root(s): H6"""
H13,H,13,אָבדָּן,noun masc,n-m.,obdan (ob-dawn'),"1. a perishing [from H6] KJV: destruction. Root(s): H6"""
H14,H,14,אָבָה,verb,v.,abah (aw-baw'),"1. to breathe after 2. (figuratively) to be acquiescent [a primitive root] KJV: consent, rest content will, be willing."
