"","Book","Ch","Vs","Incr","Transl","Strongs"
"1","Gen","6","14","1","and shalt pitch","H3722"
"2","Gen","32","20","1","I will appease","H3722"
"3","Exo","29","33","1","those things wherewith the atonement was made,","H3722"
"4","Exo","29","36","1","when thou hast made an atonement","H3722"
"5","Exo","29","37","1","thou shalt make an atonement","H3722"
"6","Exo","30","10","2","shall make an atonement","H3722"
"7","Exo","30","10","3","shall he make atonement","H3722"
"8","Exo","30","15","1","to make an atonement","H3722"
"9","Exo","30","16","1","to make an atonement","H3722"
"10","Exo","32","30","1","I shall make an atonement","H3722"
"11","Lev","1","4","1","for him to make atonement","H3722"
"12","Lev","4","20","1","shall make an atonement","H3722"
"13","Lev","4","26","1","shall make an atonement","H3722"
"14","Lev","4","31","1","shall make an atonement","H3722"
"15","Lev","4","35","1","shall make an atonement","H3722"
"16","Lev","5","6","1","shall make an atonement","H3722"
"17","Lev","5","10","1","shall make an atonement","H3722"
"18","Lev","5","13","1","shall make an atonement","H3722"
"19","Lev","5","16","1","shall make an atonement","H3722"
"20","Lev","5","18","1","shall make an atonement","H3722"
"21","Lev","6","7","1","shall make an atonement","H3722"
"22","Lev","6","30","1","to reconcile","H3722"
"23","Lev","7","7","1","that maketh atonement","H3722"
"24","Lev","8","15","1","it, to make reconciliation","H3722"
"25","Lev","8","34","1","to make an atonement","H3722"
"26","Lev","9","7","2","and make an atonement","H3722"
"27","Lev","9","7","3","and make an atonement","H3722"
"28","Lev","10","17","1","to make atonement","H3722"
"29","Lev","12","7","1","and make an atonement","H3722"
"30","Lev","12","8","1","shall make an atonement","H3722"
"31","Lev","14","18","1","shall make an atonement","H3722"
"32","Lev","14","19","1","and make an atonement","H3722"
"33","Lev","14","20","1","shall make an atonement","H3722"
"34","Lev","14","21","1","to make an atonement","H3722"
"35","Lev","14","29","1","to make an atonement","H3722"
"36","Lev","14","31","1","shall make an atonement","H3722"
"37","Lev","14","53","1","and make an atonement","H3722"
"38","Lev","15","15","1","shall make an atonement","H3722"
"39","Lev","15","30","1","shall make an atonement","H3722"
"40","Lev","16","6","1","and make an atonement","H3722"
"41","Lev","16","10","1","to make an atonement","H3722"
"42","Lev","16","11","1","which is for himself, and shall make an atonement","H3722"
"43","Lev","16","16","1","And he shall make an atonement","H3722"
"44","Lev","16","17","2","in to make an atonement","H3722"
"45","Lev","16","17","3","and have made an atonement","H3722"
"46","Lev","16","18","1","and make an atonement","H3722"
"47","Lev","16","20","1","of reconciling","H3722"
"48","Lev","16","24","1","and make an atonement","H3722"
"49","Lev","16","27","1","to make atonement","H3722"
"50","Lev","16","30","1","shall the priest make an atonement","H3722"
"51","Lev","16","32","1","stead, shall make the atonement,","H3722"
"52","Lev","16","33","2","And he shall make an atonement","H3722"
"53","Lev","16","33","3","and he shall make an atonement","H3722"
"54","Lev","16","33","4","and he shall make an atonement","H3722"
"55","Lev","16","34","1","unto you, to make an atonement","H3722"
"56","Lev","17","11","2","to make an atonement","H3722"
"57","Lev","17","11","3","that maketh an atonement","H3722"
"58","Lev","19","22","1","shall make an atonement","H3722"
"59","Lev","23","28","1","to make an atonement","H3722"
"60","Num","5","8","1","whereby an atonement shall be made","H3722"
"61","Num","6","11","1","and make an atonement","H3722"
"62","Num","8","12","1","to make an atonement","H3722"
"63","Num","8","19","1","and to make an atonement","H3722"
"64","Num","8","21","1","made an atonement","H3722"
"65","Num","15","25","1","shall make an atonement","H3722"
"66","Num","15","28","2","shall make an atonement","H3722"
"67","Num","15","28","3","to make an atonement","H3722"
"68","Num","16","46","1","and make an atonement","H3722"
"69","Num","16","47","1","and made an atonement","H3722"
"70","Num","25","13","1","and made an atonement","H3722"
"71","Num","28","22","1","to make an atonement","H3722"
"72","Num","28","30","1","to make an atonement","H3722"
"73","Num","29","5","1","to make an atonement","H3722"
"74","Num","31","50","1","to make an atonement","H3722"
"75","Num","35","33","1","cannot be cleansed","H3722"
"76","Deu","21","8","2","Be merciful,","H3722"
"77","Deu","21","8","3","shall be forgiven","H3722"
"78","Deu","32","43","1","and will be merciful","H3722"
"79","1Sa","3","14","1","shall not be purged","H3722"
"80","2Sa","21","3","1","for you? and wherewith shall I make the atonement,","H3722"
"81","1Ch","6","49","1","and to make an atonement","H3722"
"82","2Ch","29","24","1","to make an atonement","H3722"
"83","2Ch","30","18","1","pardon","H3722"
"84","Neh","10","33","1","to make an atonement","H3722"
"85","Psa","65","3","1","thou shalt purge them away.^","H3722"
"86","Psa","78","38","1","forgave","H3722"
"87","Psa","79","9","1","us, and purge away","H3722"
"88","Pro","16","6","1","is purged:","H3722"
"89","Pro","16","14","1","will pacify","H3722"
"90","Isa","6","7","1","purged.^","H3722"
"91","Isa","22","14","1","shall not be purged","H3722"
"92","Isa","27","9","1","be purged;","H3722"
"93","Isa","28","18","1","shall be disannulled,","H3722"
"94","Isa","47","11","1","to put it off:","H3722"
