Testament_Ord,Testament,Section_Ord,Section,OrderBk ,Book,BookTitle ,Chapters ,Verses,BookSummary
1,Old,1,Law,1,Gen,The First Book of Moses Called Genesis ,50,"1,533","Describes the creation; gives the history of the old world, and of the steps taken by God toward the formation of theocracy."
1,Old,1,Law,2,Exo,The Second Book of Moses Called Exodus ,40,"1,213",The history of Israel's departure from Egypt; the giving of the law; the tabernacle.
1,Old,1,Law,3,Lev,The Third Book of Moses Called Leviticus ,27,859,The ceremonial law.
1,Old,1,Law,4,Num,The Fourth Book of Moses Called Numbers ,36,"1,288",The census of the people; the story of the wanderings in the wilderness.
1,Old,1,Law,5,Deu,The Fifth Book of Moses Called Deuteronomy ,34,959,The law rehearsed; the death of Moses.
1,Old,2,Old Testament Narrative,6,Jos,The Book of Joshua ,24,658,The story of the conquest and partition of Canaan.
1,Old,2,Old Testament Narrative,7,Jdg,The Book of Judges ,21,618,The history of the nation from Joshua to Samson.
1,Old,2,Old Testament Narrative,8,Rth,The Book of Ruth ,4,85,The story of the ancestors of the royal family of Judah.
1,Old,2,Old Testament Narrative,9,1Sa,The First Book of Samuel ,31,810,The story of the nation during the judgeship of Samuel and the reign of Saul.
1,Old,2,Old Testament Narrative,10,2Sa,The Second Book of Samuel ,24,695,Story of the reign of David.
1,Old,2,Old Testament Narrative,11,1Ki,The First Book of Kings ,22,816,"The books of Kings form only one book in the Hebrew MSS. They contain the history of the nation from David's death and Solomon's accession to the destruction of the kingdom of Judah and the desolation of Jerusalem, with a supplemental notice of the liberation of Jehoiachin from his prison at Babylon, twenty-six years later; they comprehend the whole time of the Israelitish monarchy, exclusive of the reigns of Saul and David."
1,Old,2,Old Testament Narrative,12,2Ki,The Second Book of Kings ,25,719,"The books of Kings form only one book in the Hebrew MSS. They contain the history of the nation from David's death and Solomon's accession to the destruction of the kingdom of Judah and the desolation of Jerusalem, with a supplemental notice of the liberation of Jehoiachin from his prison at Babylon, twenty-six years later; they comprehend the whole time of the Israelitish monarchy, exclusive of the reigns of Saul and David."
